Start_Time,Start_Lat,Start_Lng,Weather_Condition,Road_Condition,Hour,Day_of_Week
2022-01-01 00:00:00,38.74540118847362,-110.74335355806902,Hail,Dry,3,Sunday
2022-01-01 01:00:00,44.50714306409916,-92.9049526310821,Clear,Muddy,15,Friday
2022-01-01 02:00:00,42.31993941811405,-76.35270820617959,Rain,Snowy,5,Friday
2022-01-01 03:00:00,40.98658484197037,-83.38875567952195,Rain,Construction,7,Tuesday
2022-01-01 04:00:00,36.560186404424364,-79.67194260692752,Storm,Icy,1,Monday
2022-01-01 05:00:00,36.55994520336203,-87.06083166446413,Hail,Icy,22,Saturday
2022-01-01 06:00:00,35.580836121682,-85.38617177410737,Cloudy,Wet,21,Wednesday
2022-01-01 07:00:00,43.66176145774935,-77.54021742173404,Clear,Dry,21,Wednesday
2022-01-01 08:00:00,41.01115011743209,-107.5165995570407,Snow,Potholes,15,Sunday
2022-01-01 09:00:00,42.08072577796045,-95.52875181784297,Clear,Snowy,10,Monday
2022-01-01 10:00:00,35.205844942958024,-108.93952790901989,Rain,Muddy,11,Tuesday
2022-01-01 11:00:00,44.699098521619945,-70.61659960016766,Fog,Muddy,23,Wednesday
2022-01-01 12:00:00,43.324426408004214,-72.79703301566934,Clear,Muddy,22,Saturday
2022-01-01 13:00:00,37.12339110678276,-118.02865943157471,Rain,Dry,16,Thursday
2022-01-01 14:00:00,36.818249672071005,-84.72124137421558,Hail,Potholes,18,Sunday
2022-01-01 15:00:00,36.83404509853434,-73.73758412921671,Fog,Wet,7,Monday
2022-01-01 16:00:00,38.042422429595376,-110.97123274363332,Rain,Dry,9,Friday
2022-01-01 17:00:00,40.24756431632238,-91.60273847236853,Hail,Snowy,3,Friday
2022-01-01 18:00:00,39.31945018642116,-74.22558512059791,Storm,Dry,9,Thursday
2022-01-01 19:00:00,37.91229140198042,-118.30270107071006,Clear,Potholes,18,Monday
2022-01-01 20:00:00,41.118528947223794,-85.128986637658,Storm,Wet,11,Sunday
2022-01-01 21:00:00,36.39493860652042,-105.13254963137246,Hail,Wet,20,Tuesday
2022-01-01 22:00:00,37.921446485352185,-73.78019023117348,Snow,Construction,7,Sunday
2022-01-01 23:00:00,38.663618432936914,-71.44708774173162,Rain,Icy,16,Tuesday
2022-01-02 00:00:00,39.56069984217036,-72.7866755443283,Cloudy,Wet,19,Monday
2022-01-02 01:00:00,42.851759613930135,-96.28928916712681,Snow,Construction,21,Tuesday
2022-01-02 02:00:00,36.9967378215836,-76.89786745053433,Clear,Dry,13,Tuesday
2022-01-02 03:00:00,40.142344384136116,-77.77253007324649,Clear,Construction,23,Friday
2022-01-02 04:00:00,40.92414568862043,-104.04497633783721,Storm,Wet,13,Saturday
2022-01-02 05:00:00,35.46450412719998,-78.55422629246613,Hail,Dry,3,Saturday
2022-01-02 06:00:00,41.07544851901439,-118.14961826422537,Storm,Wet,5,Tuesday
2022-01-02 07:00:00,36.705241236872915,-90.18650607589734,Storm,Wet,4,Tuesday
2022-01-02 08:00:00,35.650515929852794,-108.49955813561485,Fog,Muddy,15,Tuesday
2022-01-02 09:00:00,44.48885537253334,-113.97165571113607,Cloudy,Dry,22,Monday
2022-01-02 10:00:00,44.656320330745594,-116.15233991853954,Snow,Dry,20,Friday
2022-01-02 11:00:00,43.08397348116461,-85.18556120609301,Fog,Potholes,2,Saturday
2022-01-02 12:00:00,38.046137691733705,-103.0062518115967,Storm,Wet,17,Tuesday
2022-01-02 13:00:00,35.97672114006384,-83.76166142356192,Hail,Icy,4,Wednesday
2022-01-02 14:00:00,41.84233026512157,-116.73218296005288,Cloudy,Wet,6,Wednesday
2022-01-02 15:00:00,39.40152493739601,-104.23548310846948,Hail,Dry,16,Wednesday
2022-01-02 16:00:00,36.220382348447785,-93.02543538123314,Hail,Potholes,14,Friday
2022-01-02 17:00:00,39.9517691011127,-80.46384175805181,Clear,Snowy,20,Friday
2022-01-02 18:00:00,35.343885211152184,-104.0623748533965,Rain,Potholes,4,Tuesday
2022-01-02 19:00:00,44.09320402078782,-88.70543117814955,Snow,Snowy,18,Monday
2022-01-02 20:00:00,37.58779981600017,-75.70111258819065,Clear,Potholes,17,Tuesday
2022-01-02 21:00:00,41.62522284353982,-89.20684059088477,Rain,Snowy,13,Wednesday
2022-01-02 22:00:00,38.11711076089411,-108.3520262623183,Clear,Dry,11,Monday
2022-01-02 23:00:00,40.200680211778106,-118.7799609221731,Rain,Snowy,20,Saturday
2022-01-03 00:00:00,40.467102793432794,-76.49505630495351,Hail,Construction,7,Wednesday
2022-01-03 01:00:00,36.84854455525527,-118.93652945748065,Snow,Dry,22,Wednesday
2022-01-03 02:00:00,44.695846277645586,-76.26491636579003,Snow,Potholes,0,Thursday
2022-01-03 03:00:00,42.75132823361115,-93.5531432986394,Rain,Construction,22,Friday
2022-01-03 04:00:00,44.39498941564189,-73.04661507435519,Rain,Snowy,23,Monday
2022-01-03 05:00:00,43.948273504276486,-80.06083821131674,Cloudy,Snowy,2,Thursday
2022-01-03 06:00:00,40.978999788110855,-70.10329447333314,Hail,Construction,23,Tuesday
2022-01-03 07:00:00,44.21874235023117,-102.46440922741449,Hail,Dry,11,Sunday
2022-01-03 08:00:00,35.8849250205192,-81.64058555344366,Rain,Snowy,5,Wednesday
2022-01-03 09:00:00,36.95982862419145,-99.9034543195379,Storm,Icy,14,Thursday
2022-01-03 10:00:00,35.45227288910538,-96.00621898480456,Rain,Muddy,4,Tuesday
2022-01-03 11:00:00,38.25330330763264,-88.62472683908149,Snow,Snowy,21,Thursday
2022-01-03 12:00:00,38.88677289689482,-76.31614429068307,Cloudy,Construction,13,Tuesday
2022-01-03 13:00:00,37.71349031773896,-70.79582654003525,Hail,Dry,18,Tuesday
2022-01-03 14:00:00,43.287375091519294,-81.58632930677409,Fog,Dry,9,Monday
2022-01-03 15:00:00,38.5675332669359,-99.1116608916333,Hail,Muddy,12,Saturday
2022-01-03 16:00:00,37.809345096873805,-98.93214988614649,Storm,Dry,8,Friday
2022-01-03 17:00:00,40.426960831582484,-83.12088492055543,Storm,Wet,6,Monday
2022-01-03 18:00:00,36.40924224974763,-108.06114271158488,Rain,Muddy,12,Wednesday
2022-01-03 19:00:00,43.0219698075404,-114.47629434343027,Clear,Snowy,11,Thursday
2022-01-03 20:00:00,35.74550643679771,-102.26889211796117,Snow,Icy,2,Sunday
2022-01-03 21:00:00,44.86886936600517,-105.63805041729591,Rain,Construction,23,Friday
2022-01-03 22:00:00,42.722447692966576,-105.18459397720049,Rain,Snowy,11,Thursday
2022-01-03 23:00:00,36.98715681534173,-108.31961244750451,Cloudy,Snowy,20,Saturday
2022-01-04 00:00:00,35.05522117123603,-117.89534051818191,Cloudy,Muddy,21,Saturday
2022-01-04 01:00:00,43.154614284548344,-119.10630326332931,Snow,Dry,8,Wednesday
2022-01-04 02:00:00,42.06857343847617,-70.61388051319842,Hail,Muddy,9,Thursday
2022-01-04 03:00:00,42.29007168040987,-98.61134331320689,Snow,Potholes,13,Sunday
2022-01-04 04:00:00,42.71270346685946,-100.78366764201591,Cloudy,Muddy,5,Thursday
2022-01-04 05:00:00,35.74044651734091,-86.0176358653465,Fog,Potholes,3,Sunday
2022-01-04 06:00:00,38.584657285442724,-109.0873056067468,Rain,Potholes,6,Thursday
2022-01-04 07:00:00,36.1586905952513,-72.50194080248873,Rain,Wet,22,Monday
2022-01-04 08:00:00,43.63103425875593,-80.6827492792224,Fog,Snowy,13,Sunday
2022-01-04 09:00:00,41.23298126827558,-115.52944988438702,Rain,Wet,10,Saturday
